SKU,User,Category,Brand,Data Type,Technical Attribute,Existing,C4C ,Status
883-09-141,Ganesh,Air Flange Tools,Fox,Title,,Fox 3.0 Factory Series Internal Bypass Coilover Reservoir Adjustable,Fox Factory Race Series 3.0 External Bypass QAB Shock,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Description,,Developed from our off-road race shocks FOX Factory Race Series combines race-proven technology with new cutting-edge features to provide enhanced ride-quality and winning damping performance you can bolt onto your truck or SUV.&nbsp;,"Developed from our off-road race shocks FOX Factory Race Series combines race-proven technology with new cutting-edge features to provide enhanced ride-quality and winning damping performance you can bolt onto your truck or SUV.

Taking inspiration from off-road racing, the Factory Race Series rear upgrade kit for the Gen 2 Raptor utilizes the same technology and parts found on the top race-winning off-road machines, including External Bypass position-sensitive damping, Quick Adjust Bypass (QAB), and an External Cooling System (ECS2).

Fox Factory Race Series 3.0 External Bypass QAB Shock delivers the next level of off-road performance without sacrificing every day ride quality.",Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,"""Packed With 35 Years Of Race Winning Technology","""<ul><li>Packed with 35 years of race winning technology</li>",Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,Durable Zinc Plated Seamless Alloy Body,<li>Durable zinc plated seamless alloy body</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,Industry-Leading 17-4 H900 Stainless Steel Shaft,<li>Industry-leading 17-4 H900 stainless steel shaft</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,ORB O-Ring Port Fittings Deliver A Superior Seal,<li>ORB O-Ring port fittings deliver a superior seal</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,Black Anodized CNC Machined Aluminum Components,<li>Black anodized CNC machined aluminum components</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,100% Serviceable And Tunable For Longer Lifespan,<li>100% serviceable and tunable for longer lifespan</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,Teflon-Lined Heat-Treated Spherical Bearings,<li>Teflon-lined heat-treated spherical bearings</li>,Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Features,,"Redundant Sealing System/Long Lasting Performance""","<li>Redundant sealing system/long lasting performance</li></ul>""",Enriched
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Brand,FOX,FOX,Retained
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Generation,,2,Newly Added
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Product Type,,Shock,Newly Added
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Part Number,883-09-141,883-09-141,Retained
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Body,,"3.0"" Steel Body New, Proprietary Coating for Improved Durability",Newly Added
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Body Plating,,,Not Applicable
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Reservoir,,"New, Hard Anodized Impact Extruded Aluminum Finned Remote Reservoir with NEW Recirculating Reservoir Bridge",Newly Added
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Components,,"Hard Anodized, CNC-Machined 6061-T6 Billet Aluminum",Newly Added
883-09-141,Ganesh,Air Flange Tools,Fox,Specifications,Hose,,,Not Applicable
